program,year,period,geo_level,state,state_ansi,commodity,data_item,domain,domain_category,num_inspections
WPS,2011,YEAR,STATE,ALABAMA,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,98.0
WPS,2011,YEAR,STATE,ALASKA,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,6.0
WPS,2011,YEAR,STATE,ARIZONA ,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,101.0
WPS,2011,YEAR,STATE,ARKANSAS,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,62.0
WPS,2011,YEAR,STATE,CALIFORNIA,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,39.0
WPS,2011,YEAR,STATE,COLORADO,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,146.0
WPS,2011,YEAR,STATE,CONNECTICUT,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,12.0
WPS,2011,YEAR,STATE,DELAWARE,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,9.0
WPS,2011,YEAR,STATE,DISTRICT OF COLUMBIA,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,3.0
WPS,2011,YEAR,STATE,FLORIDA,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,778.0
WPS,2011,YEAR,STATE,GEORGIA,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,146.0
WPS,2011,YEAR,STATE,HAWAII,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,20.0
WPS,2011,YEAR,STATE,IDAHO,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,69.0
WPS,2011,YEAR,STATE,ILLINOIS,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,27.0
WPS,2011,YEAR,STATE,INDIANA,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,8.0
WPS,2011,YEAR,STATE,IOWA,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,22.0
WPS,2011,YEAR,STATE,KANSAS,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,21.0
WPS,2011,YEAR,STATE,KENTUCKY,,INSPECTION TOTALS,STATE INSPECTIONS - TOTAL COUNT,TOTAL,NOT SPECIFIED,58.0
