program,year,period,geo_level,state,state_ansi,commodity,data_item,domain,domain_category,value
CENSUS,2022,YEAR,STATE,ALABAMA,1,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,13925
CENSUS,2022,YEAR,STATE,ALASKA,2,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,768
CENSUS,2022,YEAR,STATE,ARIZONA,4,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,3465
CENSUS,2022,YEAR,STATE,ARKANSAS,5,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,13924
CENSUS,2022,YEAR,STATE,CALIFORNIA,6,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,41045
CENSUS,2022,YEAR,STATE,COLORADO,8,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,12924
CENSUS,2022,YEAR,STATE,CONNECTICUT,9,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,3105
CENSUS,2022,YEAR,STATE,DELAWARE,10,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,1248
CENSUS,2022,YEAR,STATE,FLORIDA,12,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,17257
CENSUS,2022,YEAR,STATE,GEORGIA,13,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,17081
CENSUS,2022,YEAR,STATE,HAWAII,15,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,4688
CENSUS,2022,YEAR,STATE,IDAHO,16,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,10455
CENSUS,2022,YEAR,STATE,ILLINOIS,17,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,49832
CENSUS,2022,YEAR,STATE,INDIANA,18,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,34247
CENSUS,2022,YEAR,STATE,IOWA,19,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,59419
CENSUS,2022,YEAR,STATE,KANSAS,20,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,32339
CENSUS,2022,YEAR,STATE,KENTUCKY,21,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,35135
CENSUS,2022,YEAR,STATE,LOUISIANA,22,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,8350
CENSUS,2022,YEAR,STATE,MAINE,23,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,4524
CENSUS,2022,YEAR,STATE,MARYLAND,24,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,7016
CENSUS,2022,YEAR,STATE,MASSACHUSETTS,25,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,4431
CENSUS,2022,YEAR,STATE,MICHIGAN,26,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,29451
CENSUS,2022,YEAR,STATE,MINNESOTA,27,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,43821
CENSUS,2022,YEAR,STATE,MISSISSIPPI,28,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,10889
CENSUS,2022,YEAR,STATE,MISSOURI,29,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,42265
CENSUS,2022,YEAR,STATE,MONTANA,30,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,10822
CENSUS,2022,YEAR,STATE,NEBRASKA,31,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,28575
CENSUS,2022,YEAR,STATE,NEVADA,32,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,1190
CENSUS,2022,YEAR,STATE,NEW HAMPSHIRE,33,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,2222
CENSUS,2022,YEAR,STATE,NEW JERSEY,34,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,6358
CENSUS,2022,YEAR,STATE,NEW MEXICO,35,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,7307
CENSUS,2022,YEAR,STATE,NEW YORK,36,CROP TOTALS,CROP TOTALS - OPERATIONS WITH SALES,TOTAL,NOT SPECIFIED,20069
