state,year,Insects,"Weeds, grass, or brush",Nematodes,Pesticide_applied_acreage,num_inspections,Facility_Total,inspection_rate
ALABAMA,2012,999678.0,1933831.0,261403.0,3590086.0,107.0,13264.0,0.008066948130277442
ALABAMA,2017,1124965.0,2080369.0,152793.0,3736145.0,153.0,13985.0,0.010940293171254917
ALASKA,2012,548.0,15518.0,,16066.0,6.0,471.0,0.012738853503184714
ALASKA,2017,408.0,11071.0,31.0,11591.0,4.0,648.0,0.006172839506172839
ARKANSAS,2012,3674791.0,6186811.0,415881.0,12030118.0,60.0,14781.0,0.004059265272985589
ARKANSAS,2017,3915540.0,6433092.0,371970.0,12529972.0,63.0,15205.0,0.004143373890167708
CALIFORNIA,2012,5293093.0,6116162.0,725589.0,14173613.0,33.0,49253.0,0.0006700099486325706
CALIFORNIA,2017,6513981.0,7007896.0,913554.0,17122320.0,34.0,45261.0,0.0007511986036543602
COLORADO,2012,1285988.0,5904526.0,114493.0,7584621.0,144.0,13885.0,0.010370903853078862
COLORADO,2017,1593199.0,6435661.0,130782.0,8843066.0,515.0,15311.0,0.033635948011233756
CONNECTICUT,2012,30727.0,54508.0,5657.0,104340.0,5.0,3249.0,0.0015389350569405972
CONNECTICUT,2017,24937.0,46468.0,3955.0,84894.0,9.0,3257.0,0.00276327909118821
DELAWARE,2012,215943.0,397644.0,26017.0,709721.0,9.0,1296.0,0.006944444444444444
DELAWARE,2017,279333.0,409649.0,26432.0,836550.0,10.0,1308.0,0.00764525993883792
FLORIDA,2012,1301710.0,1846661.0,407959.0,4296986.0,808.0,17287.0,0.04674032509978596
FLORIDA,2017,1498918.0,1886519.0,360704.0,4592103.0,645.0,16239.0,0.03971919453168299
GEORGIA,2012,2178419.0,3395168.0,1112678.0,7647831.0,96.0,15678.0,0.006123230003827019
GEORGIA,2017,2646137.0,3420961.0,671621.0,7869127.0,77.0,17165.0,0.004485872414797553
HAWAII,2012,30417.0,114713.0,4089.0,158362.0,45.0,5057.0,0.008898556456397073
