state,hired_farm_labor,year
ALABAMA,32948,2012
ALASKA,1577,2012
ARIZONA,29245,2012
ARKANSAS,33104,2012
CALIFORNIA,465422,2012
COLORADO,38019,2012
CONNECTICUT,13713,2012
DELAWARE,3697,2012
FLORIDA,107192,2012
GEORGIA,51156,2012
HAWAII,12492,2012
IDAHO,48225,2012
ILLINOIS,63985,2012
INDIANA,46590,2012
IOWA,79838,2012
KANSAS,48853,2012
KENTUCKY,68586,2012
LOUISIANA,26632,2012
MAINE,15072,2012
MARYLAND,14705,2012
MASSACHUSETTS,15649,2012
MICHIGAN,83451,2012
MINNESOTA,81666,2012
MISSISSIPPI,32307,2012
MISSOURI,56543,2012
MONTANA,23199,2012
NEBRASKA,50495,2012
NEVADA,6984,2012
NEW HAMPSHIRE,6110,2012
NEW JERSEY,24561,2012
NEW MEXICO,21981,2012
NEW YORK,60944,2012
NORTH CAROLINA,78012,2012
NORTH DAKOTA,27414,2012
OHIO,64589,2012
OKLAHOMA,51119,2012
OREGON,99305,2012
PENNSYLVANIA,65487,2012
RHODE ISLAND,1869,2012
SOUTH CAROLINA,23398,2012
SOUTH DAKOTA,27199,2012
TENNESSEE,42737,2012
TEXAS,160392,2012
UTAH,17927,2012
VERMONT,9216,2012
VIRGINIA,46561,2012
WASHINGTON,256036,2012
WEST VIRGINIA,10153,2012
WISCONSIN,79590,2012
WYOMING,10472,2012
ALABAMA,26136,2017
ALASKA,1988,2017
ARIZONA,24648,2017
ARKANSAS,29047,2017
CALIFORNIA,377593,2017
COLORADO,36733,2017
CONNECTICUT,11897,2017
DELAWARE,3509,2017
FLORIDA,96247,2017
GEORGIA,48972,2017
HAWAII,11891,2017
IDAHO,45585,2017
ILLINOIS,55584,2017
INDIANA,43528,2017
IOWA,73257,2017
KANSAS,43102,2017
KENTUCKY,52701,2017
LOUISIANA,23019,2017
MAINE,13440,2017
MARYLAND,15143,2017
MASSACHUSETTS,13142,2017
MICHIGAN,77475,2017
MINNESOTA,70695,2017
MISSISSIPPI,27166,2017
MISSOURI,50269,2017
MONTANA,21800,2017
NEBRASKA,44785,2017
NEVADA,5315,2017
NEW HAMPSHIRE,4832,2017
NEW JERSEY,25256,2017
NEW MEXICO,20355,2017
NEW YORK,55636,2017
NORTH CAROLINA,67496,2017
NORTH DAKOTA,24143,2017
OHIO,58785,2017
OKLAHOMA,42431,2017
OREGON,86240,2017
PENNSYLVANIA,61071,2017
RHODE ISLAND,1759,2017
SOUTH CAROLINA,20938,2017
SOUTH DAKOTA,25914,2017
TENNESSEE,40056,2017
TEXAS,143763,2017
UTAH,19136,2017
VERMONT,8458,2017
VIRGINIA,39657,2017
WASHINGTON,228588,2017
WEST VIRGINIA,9025,2017
WISCONSIN,72425,2017
WYOMING,10402,2017
