State,year,ids_event_count
AK,2016,2
AK,2017,1
AK,2019,2
AK,2021,1
AK,2022,1
AL,2015,5
AL,2016,5
AL,2017,2
AL,2018,16
AL,2019,7
AL,2020,13
AL,2021,11
AL,2022,17
AL,2023,11
AL,2024,11
AR,2015,1
AR,2016,4
AR,2017,3
AR,2018,15
AR,2019,8
AR,2020,10
AR,2021,3
AR,2022,7
AR,2023,4
AR,2024,3
AZ,2015,2
AZ,2016,4
AZ,2017,9
AZ,2018,16
AZ,2019,12
AZ,2020,10
AZ,2021,18
AZ,2022,13
AZ,2023,7
AZ,2024,2
CA,2014,1
CA,2015,29
CA,2016,27
CA,2017,149
CA,2018,153
CA,2019,211
CA,2020,146
CA,2021,196
CA,2022,102
CA,2023,149
CA,2024,93
CO,2015,2
CO,2016,1
CO,2017,8
CO,2018,12
CO,2019,12
CO,2020,9
CO,2021,7
CO,2022,10
CO,2023,7
CO,2024,3
CT,2014,1
CT,2015,1
CT,2016,3
CT,2017,1
CT,2018,5
CT,2019,8
CT,2020,6
CT,2021,7
CT,2022,1
CT,2023,6
CT,2024,1
DC,2015,1
DC,2017,2
DC,2018,1
DC,2020,2
DC,2021,2
DC,2024,1
DE,2014,1
DE,2016,1
DE,2017,1
DE,2018,4
DE,2020,1
DE,2021,1
DE,2022,2
DE,2024,1
FL,2015,25
FL,2016,9
FL,2017,29
FL,2018,59
FL,2019,60
FL,2020,34
FL,2021,44
FL,2022,43
FL,2023,37
FL,2024,14
GA,2015,9
GA,2016,5
GA,2017,16
GA,2018,24
GA,2019,25
GA,2020,27
GA,2021,25
GA,2022,20
GA,2023,14
GA,2024,8
HI,2015,3
HI,2016,4
HI,2017,3
HI,2018,5
HI,2019,2
HI,2020,2
HI,2021,2
HI,2022,7
HI,2023,2
HI,2024,1
IA,2014,1
IA,2015,3
IA,2016,5
IA,2017,5
IA,2018,3
IA,2019,3
IA,2020,5
IA,2021,4
IA,2022,9
IA,2023,3
IA,2024,1
ID,2015,1
ID,2016,1
ID,2017,5
ID,2018,2
ID,2019,13
ID,2020,4
ID,2021,3
ID,2022,6
ID,2023,2
ID,2024,3
IL,2014,1
IL,2015,3
IL,2016,6
IL,2017,22
IL,2018,34
IL,2019,13
IL,2020,14
IL,2021,21
IL,2022,17
IL,2023,12
IL,2024,5
IN,2015,5
IN,2016,8
IN,2017,9
IN,2018,16
IN,2019,12
IN,2020,14
IN,2021,11
IN,2022,13
IN,2023,12
IN,2024,4
KS,2015,3
KS,2017,4
KS,2018,8
KS,2019,5
KS,2020,6
KS,2021,5
KS,2022,5
KS,2023,3
KS,2024,3
KY,2014,1
KY,2015,4
KY,2016,3
KY,2017,11
KY,2018,20
KY,2019,19
KY,2020,15
KY,2021,3
KY,2022,3
KY,2023,6
KY,2024,4
