state,num_inspections,year,num_violations,Pesticide_applied_acreage,hired_farm_labor
ALABAMA,107.0,2012,20.0,3590086,32948
ALABAMA,153.0,2017,12.0,3736145,26136
ALASKA,6.0,2012,6.0,16066,1577
ALASKA,4.0,2017,4.0,11591,1988
ARIZONA,116.0,2012,6.0,1526823,29245
ARIZONA,124.0,2017,49.0,1706589,24648
ARKANSAS,60.0,2012,0.0,12030118,33104
ARKANSAS,63.0,2017,0.0,12529972,29047
CALIFORNIA,33.0,2012,36.0,14173613,465422
CALIFORNIA,34.0,2017,47.0,17122320,377593
COLORADO,144.0,2012,18.0,7584621,38019
COLORADO,515.0,2017,908.0,8843066,36733
CONNECTICUT,5.0,2012,3.0,104340,13713
CONNECTICUT,9.0,2017,0.0,84894,11897
DELAWARE,9.0,2012,1.0,709721,3697
DELAWARE,10.0,2017,7.0,836550,3509
FLORIDA,808.0,2012,149.0,4296986,107192
FLORIDA,645.0,2017,158.0,4592103,96247
GEORGIA,96.0,2012,27.0,7647831,51156
GEORGIA,77.0,2017,20.0,7869127,48972
HAWAII,45.0,2012,12.0,158362,12492
HAWAII,25.0,2017,16.0,157578,11891
IDAHO,94.0,2012,3.0,6458598,48225
IDAHO,79.0,2017,0.0,6879948,45585
ILLINOIS,25.0,2012,16.0,33824518,63985
ILLINOIS,26.0,2017,14.0,34951159,55584
INDIANA,7.0,2012,1.0,16720913,46590
INDIANA,7.0,2017,1.0,17928386,43528
IOWA,21.0,2012,12.0,35153302,79838
IOWA,19.0,2017,14.0,35830885,73257
KANSAS,22.0,2012,6.0,27570099,48853
KANSAS,6.0,2017,0.0,29271583,43102
KENTUCKY,29.0,2012,4.0,5795511,68586
KENTUCKY,44.0,2017,0.0,7326868,52701
LOUISIANA,39.0,2012,0.0,6707632,26632
LOUISIANA,36.0,2017,0.0,7008846,23019
MAINE,108.0,2012,26.0,486681,15072
MAINE,60.0,2017,13.0,377651,13440
MARYLAND,37.0,2012,5.0,1851739,14705
MARYLAND,39.0,2017,5.0,2024838,15143
MASSACHUSETTS,34.0,2012,6.0,146298,15649
MASSACHUSETTS,10.0,2017,0.0,104853,13142
MICHIGAN,43.0,2012,14.0,9144285,83451
MICHIGAN,28.0,2017,16.0,9442672,77475
MINNESOTA,17.0,2012,31.0,26723076,81666
MINNESOTA,25.0,2017,114.0,28838683,70695
MISSISSIPPI,35.0,2012,6.0,7234230,32307
MISSISSIPPI,35.0,2017,35.0,7995757,27166
MISSOURI,20.0,2012,1.0,14628477,56543
MISSOURI,28.0,2017,14.0,17716940,50269
MONTANA,28.0,2012,22.0,11548843,23199
MONTANA,20.0,2017,34.0,12804119,21800
NEBRASKA,25.0,2012,12.0,25459085,50495
NEBRASKA,5.0,2017,1.0,27682627,44785
NEVADA,14.0,2012,16.0,405029,6984
NEVADA,13.0,2017,8.0,378577,5315
NEW HAMPSHIRE,61.0,2012,3.0,31275,6110
NEW HAMPSHIRE,40.0,2017,0.0,23795,4832
NEW JERSEY,181.0,2012,161.0,534689,24561
NEW JERSEY,66.0,2017,35.0,533171,25256
NEW MEXICO,34.0,2012,5.0,1136634,21981
NEW MEXICO,38.0,2017,0.0,1112679,20355
NEW YORK,30.0,2012,19.0,3039730,60944
NEW YORK,19.0,2017,15.0,2786047,55636
NORTH CAROLINA,333.0,2012,67.0,7424918,78012
NORTH CAROLINA,280.0,2017,106.0,7999048,67496
NORTH DAKOTA,16.0,2012,7.0,32260565,27414
NORTH DAKOTA,14.0,2017,0.0,32546858,24143
OHIO,10.0,2012,7.0,12194817,64589
OHIO,21.0,2017,9.0,12614232,58785
OKLAHOMA,36.0,2012,8.0,10709798,51119
OKLAHOMA,19.0,2017,1.0,12203096,42431
OREGON,81.0,2012,166.0,4096137,99305
OREGON,23.0,2017,99.0,4411125,86240
PENNSYLVANIA,70.0,2012,15.0,3641936,65487
PENNSYLVANIA,64.0,2017,63.0,3601446,61071
RHODE ISLAND,13.0,2012,13.0,19812,1869
RHODE ISLAND,16.0,2017,15.0,13415,1759
SOUTH CAROLINA,79.0,2012,23.0,2866811,23398
SOUTH CAROLINA,140.0,2017,40.0,3156839,20938
SOUTH DAKOTA,101.0,2012,7.0,19499290,27199
SOUTH DAKOTA,121.0,2017,0.0,20031395,25914
TENNESSEE,40.0,2012,1.0,4787546,42737
TENNESSEE,43.0,2017,7.0,6420443,40056
TEXAS,178.0,2012,22.0,28837854,160392
TEXAS,75.0,2017,20.0,29641067,143763
UTAH,25.0,2012,2.0,1063391,17927
UTAH,0.0,2017,0.0,971584,19136
VERMONT,2.0,2012,0.0,140303,9216
VERMONT,9.0,2017,3.0,127324,8458
VIRGINIA,40.0,2012,0.0,2677610,46561
VIRGINIA,37.0,2017,0.0,2927217,39657
WASHINGTON,40.0,2012,122.0,7720909,256036
WASHINGTON,52.0,2017,268.0,8388494,228588
WEST VIRGINIA,0.0,2012,0.0,182795,10153
WEST VIRGINIA,11.0,2017,0.0,176778,9025
WISCONSIN,28.0,2012,25.0,10199186,79590
WISCONSIN,43.0,2017,98.0,9497150,72425
