state,num_inspections,year,num_violations,Pesticide_applied_acreage,hired_farm_labor,violations_per_inspection,pesticide_per_worker,FERI,cluster
ALABAMA,107.0,2012,20.0,3590086,32948,0.18691588785046728,108.9621828335559,54.57454936070318,0
ALABAMA,153.0,2017,12.0,3736145,26136,0.0784313725490196,142.9501453933272,71.51428838293812,0
ALASKA,6.0,2012,6.0,16066,1577,1.0,10.187698161065313,5.593849080532657,0
ALASKA,4.0,2017,4.0,11591,1988,1.0,5.8304828973843055,3.4152414486921527,0
ARIZONA,116.0,2012,6.0,1526823,29245,0.05172413793103448,52.20800136775517,26.129862752843103,0
ARIZONA,124.0,2017,49.0,1706589,24648,0.3951612903225806,69.23843719571568,34.816799243019126,0
ARKANSAS,60.0,2012,0.0,12030118,33104,0.0,363.40375785403575,181.70187892701787,0
ARKANSAS,63.0,2017,0.0,12529972,29047,0.0,431.368884910662,215.684442455331,1
CALIFORNIA,33.0,2012,36.0,14173613,465422,1.0909090909090908,30.45325102809923,15.77208005950416,0
CALIFORNIA,34.0,2017,47.0,17122320,377593,1.3823529411764706,45.345967748342794,23.364160344759632,0
COLORADO,144.0,2012,18.0,7584621,38019,0.125,199.49554170283278,99.8102708514164,0
COLORADO,515.0,2017,908.0,8843066,36733,1.7631067961165048,240.73900852094846,121.25105765853247,0
CONNECTICUT,5.0,2012,3.0,104340,13713,0.6,7.608838328593306,4.104419164296653,0
CONNECTICUT,9.0,2017,0.0,84894,11897,0.0,7.135748508027234,3.567874254013617,0
DELAWARE,9.0,2012,1.0,709721,3697,0.1111111111111111,191.97213957262645,96.04162534186878,0
DELAWARE,10.0,2017,7.0,836550,3509,0.7,238.40125391849529,119.55062695924764,0
FLORIDA,808.0,2012,149.0,4296986,107192,0.1844059405940594,40.08681618031196,20.135611060453012,0
FLORIDA,645.0,2017,158.0,4592103,96247,0.24496124031007752,47.71164815526718,23.978304697788623,0
GEORGIA,96.0,2012,27.0,7647831,51156,0.28125,149.50017593244195,74.89071296622097,0
GEORGIA,77.0,2017,20.0,7869127,48972,0.2597402597402597,160.68624928530588,80.47299477252307,0
HAWAII,45.0,2012,12.0,158362,12492,0.26666666666666666,12.677073326929234,6.471869996797951,0
HAWAII,25.0,2017,16.0,157578,11891,0.64,13.251871163064502,6.945935581532251,0
IDAHO,94.0,2012,3.0,6458598,48225,0.031914893617021274,133.92634525660964,66.97913007511333,0
IDAHO,79.0,2017,0.0,6879948,45585,0.0,150.9256992431721,75.46284962158605,0
ILLINOIS,25.0,2012,16.0,33824518,63985,0.64,528.6319918730952,264.6359959365476,1
ILLINOIS,26.0,2017,14.0,34951159,55584,0.5384615384615384,628.7989169545193,314.66868924649043,1
INDIANA,7.0,2012,1.0,16720913,46590,0.14285714285714285,358.8948916076411,179.51887437524914,0
INDIANA,7.0,2017,1.0,17928386,43528,0.14285714285714285,411.88168535195734,206.01227124740728,1
IOWA,21.0,2012,12.0,35153302,79838,0.5714285714285714,440.30789849445125,220.4396635329399,1
IOWA,19.0,2017,14.0,35830885,73257,0.7368421052631579,489.1120985025322,244.9244703038977,1
KANSAS,22.0,2012,6.0,27570099,48853,0.2727272727272727,564.3481260106851,282.31042664170616,1
KANSAS,6.0,2017,0.0,29271583,43102,0.0,679.1235441510835,339.56177207554174,1
KENTUCKY,29.0,2012,4.0,5795511,68586,0.13793103448275862,84.4999125185898,42.31892177653628,0
KENTUCKY,44.0,2017,0.0,7326868,52701,0.0,139.02711523500503,69.51355761750251,0
LOUISIANA,39.0,2012,0.0,6707632,26632,0.0,251.8636227095224,125.9318113547612,0
LOUISIANA,36.0,2017,0.0,7008846,23019,0.0,304.48090707676266,152.24045353838133,0
MAINE,108.0,2012,26.0,486681,15072,0.24074074074074073,32.29040605095541,16.265573395848076,0
MAINE,60.0,2017,13.0,377651,13440,0.21666666666666667,28.09903273809524,14.157849702380952,0
MARYLAND,37.0,2012,5.0,1851739,14705,0.13513513513513514,125.92580754845291,63.03047134179402,0
MARYLAND,39.0,2017,5.0,2024838,15143,0.1282051282051282,133.71445552400448,66.92133032610481,0
MASSACHUSETTS,34.0,2012,6.0,146298,15649,0.17647058823529413,9.348712377787718,4.762591483011506,0
MASSACHUSETTS,10.0,2017,0.0,104853,13142,0.0,7.97846598691219,3.989232993456095,0
MICHIGAN,43.0,2012,14.0,9144285,83451,0.32558139534883723,109.57669770284359,54.95113954909621,0
MICHIGAN,28.0,2017,16.0,9442672,77475,0.5714285714285714,121.88024524040013,61.22583690591435,0
MINNESOTA,17.0,2012,31.0,26723076,81666,1.8235294117647058,327.2240099919183,164.5237697018415,0
MINNESOTA,25.0,2017,114.0,28838683,70695,4.56,407.9310135087347,206.24550675436737,2
MISSISSIPPI,35.0,2012,6.0,7234230,32307,0.17142857142857143,223.92144117373942,112.046434872584,0
MISSISSIPPI,35.0,2017,35.0,7995757,27166,1.0,294.3295663697269,147.66478318486344,0
MISSOURI,20.0,2012,1.0,14628477,56543,0.05,258.71419981253206,129.38209990626603,0
MISSOURI,28.0,2017,14.0,17716940,50269,0.5,352.4426584972846,176.4713292486423,0
MONTANA,28.0,2012,22.0,11548843,23199,0.7857142857142857,497.816414500625,249.30106439316964,1
MONTANA,20.0,2017,34.0,12804119,21800,1.7,587.3449082568808,294.5224541284404,1
NEBRASKA,25.0,2012,12.0,25459085,50495,0.48,504.1902168531538,252.3351084265769,1
NEBRASKA,5.0,2017,1.0,27682627,44785,0.2,618.1227419895055,309.16137099475276,1
NEVADA,14.0,2012,16.0,405029,6984,1.1428571428571428,57.993843069873996,29.56835010636557,0
NEVADA,13.0,2017,8.0,378577,5315,0.6153846153846154,71.2280338664158,35.921709240900206,0
NEW HAMPSHIRE,61.0,2012,3.0,31275,6110,0.04918032786885246,5.118657937806874,2.5839191328378632,0
NEW HAMPSHIRE,40.0,2017,0.0,23795,4832,0.0,4.924461920529802,2.462230960264901,0
NEW JERSEY,181.0,2012,161.0,534689,24561,0.8895027624309392,21.769838361630228,11.329670562030584,0
NEW JERSEY,66.0,2017,35.0,533171,25256,0.5303030303030303,21.110666772252138,10.820484901277585,0
NEW MEXICO,34.0,2012,5.0,1136634,21981,0.14705882352941177,51.7098403166371,25.928449570083256,0
NEW MEXICO,38.0,2017,0.0,1112679,20355,0.0,54.66366985998526,27.33183492999263,0
NEW YORK,30.0,2012,19.0,3039730,60944,0.6333333333333333,49.8774284589131,25.255380896123217,0
NEW YORK,19.0,2017,15.0,2786047,55636,0.7894736842105263,50.07633546624488,25.432904575227703,0
NORTH CAROLINA,333.0,2012,67.0,7424918,78012,0.2012012012012012,95.17661385427883,47.688907527740014,0
