state,num_inspections,year,num_violations,Pesticide_applied_acreage,hired_farm_labor,num_violations_zscore,num_inspections_zscore,Pesticide_applied_acreage_zscore,hired_farm_labor_zscore
ALABAMA,107.0,2012,20.0,3590086,32948,-0.14798378817090055,0.3238568719335726,-0.5478412322700233,-0.28590383915891954
ALABAMA,153.0,2017,12.0,3736145,26136,-0.22849682767540158,0.7089654920012447,-0.5334837036919523,-0.38648104182110504
ALASKA,6.0,2012,6.0,16066,1577,-0.2888816073037774,-0.5217077069106641,-0.8991656579377165,-0.7490875480132092
ALASKA,4.0,2017,4.0,11591,1988,-0.30900986717990264,-0.5384515599570846,-0.8996055482586613,-0.7430192523152999
ARIZONA,116.0,2012,6.0,1526823,29245,-0.2888816073037774,0.399204210642465,-0.7506589804853109,-0.34057755927901245
ARIZONA,124.0,2017,49.0,1706589,24648,0.14387598003291574,0.46617962282814707,-0.7329880702205169,-0.40845092989528764
ARKANSAS,60.0,2012,0.0,12030118,33104,-0.3492663869321531,-0.06962367465730984,0.281809803543137,-0.28360054444146493
ARKANSAS,63.0,2017,0.0,12529972,29047,-0.3492663869321531,-0.04450789508767905,0.330945208344369,-0.34350097180501254
CALIFORNIA,33.0,2012,36.0,14173613,465422,0.013042290838101538,-0.29566569078398697,0.49251431829027664,6.099449235433859
CALIFORNIA,34.0,2017,47.0,17122320,377593,0.12374772015679046,-0.28729376426077674,0.7823707805477085,4.802679544797176
COLORADO,144.0,2012,18.0,7584621,38019,-0.1681120480470258,0.6336181532923524,-0.15518038686778762,-0.2110319961319168
COLORADO,515.0,2017,908.0,8843066,36733,8.788963596828715,3.7396028934033607,-0.031475856154646646,-0.23001941284119024
CONNECTICUT,5.0,2012,3.0,104340,13713,-0.31907399711796525,-0.5300796334338744,-0.8904883667218336,-0.5699030307630208
CONNECTICUT,9.0,2017,0.0,84894,11897,-0.3492663869321531,-0.49659192734103336,-0.8923998990528038,-0.596715743627749
DELAWARE,9.0,2012,1.0,709721,3697,-0.3392022569940905,-0.49659192734103336,-0.8309797092058897,-0.7177863633913899
DELAWARE,10.0,2017,7.0,836550,3509,-0.2788174773657147,-0.4882200008178231,-0.8185124802639678,-0.7205621288201173
FLORIDA,808.0,2012,149.0,4296986,107192,1.1502889738391786,6.1925773647039675,-0.4783533064877132,0.8102872698327569
FLORIDA,645.0,2017,158.0,4592103,96247,1.2408661432817423,4.827953341420694,-0.44934344909190327,0.648687521867751
GEORGIA,96.0,2012,27.0,7647831,51156,-0.07753487860446213,0.2317656801782597,-0.14896687464724748,-0.017068004444727898
GEORGIA,77.0,2017,20.0,7869127,48972,-0.14798378817090055,0.07269907623726465,-0.1272135856050603,-0.04931413048909271
HAWAII,45.0,2012,12.0,158362,12492,-0.22849682767540158,-0.1952025725054638,-0.8851780304272913,-0.5879307413400214
HAWAII,25.0,2017,16.0,157578,11891,-0.18824030792315105,-0.3626411029696691,-0.8852550972455305,-0.5968043318861127
IDAHO,94.0,2012,3.0,6458598,48225,-0.31907399711796525,0.21502182713183915,-0.26586789946246053,-0.06034336865536584
IDAHO,79.0,2017,0.0,6879948,45585,-0.3492663869321531,0.08944292928368518,-0.22444939963451258,-0.09932220233536726
ILLINOIS,25.0,2012,16.0,33824518,63985,-0.18824030792315105,-0.3626411029696691,2.4241887109840503,0.17234845664646084
ILLINOIS,26.0,2017,14.0,34951159,55584,-0.20836856779927632,-0.35426917644645883,2.5349369726777944,0.04831013022763813
INDIANA,7.0,2012,1.0,16720913,46590,-0.3392022569940905,-0.5133357803874539,0.7429126679087217,-0.08448366905945763
INDIANA,7.0,2017,1.0,17928386,43528,-0.3392022569940905,-0.5133357803874539,0.8616066758421541,-0.1296932102443684
IOWA,21.0,2012,12.0,35153302,79838,-0.22849682767540158,-0.39612880906251013,2.554807531146338,0.40641339995292397
IOWA,19.0,2017,14.0,35830885,73257,-0.20836856779927632,-0.4128726621089307,2.62141361010426,0.3092468452377386
KANSAS,22.0,2012,6.0,27570099,48853,-0.2888816073037774,-0.3877568825392999,1.8093823688091022,-0.05107113094663823
KANSAS,6.0,2017,0.0,29271583,43102,-0.3492663869321531,-0.5217077069106641,1.9766374174889554,-0.13598297658818678
